,Name,Lat,Lon,Numer_of_Guests,Price_per_night,Accommodation_Type,Star,labels,price_group,Final_Arrondissement,address
3,21 Tour Eiffel Appartement pour 2 personnes,48.84118,2.30754,2,90,Entire Place,5,9,2,15,"Traiteur Rose, Rue de Vaugirard, Quartier Necker, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France"
4,Appartement 2 pièces calme et spacieux,48.82545,2.31876,2,90,Entire Place,5,9,2,14,"Jean Moulin, Rue des Plantes, Quartier de Plaisance, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France"
5,Paris: Agréable  petit studio à côté  de la gare,48.8418,2.32222,2,90,Entire Place,5,9,2,15,"Monoprix, Rue du Départ, Quartier Necker, Paris 15e Arrondissement, Paris, Île-de-France, France métropolitaine, 75015, France"
7,Charming studio near Montparnasse train station,48.83071,2.31601,2,90,Entire Place,5,9,2,14,"Villa Léone, Quartier de Plaisance, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France"
8,Lumineux Appartement Rénové,48.83244,2.32847,2,90,Entire Place,5,9,2,14,"41 P, Rue Boulard, Quartier du Petit-Montrouge, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France"
9,Bel appartement ensoleillé.,48.82992,2.3294,2,90,Entire Place,5,9,2,14,"63, Rue du Couédic, Quartier du Petit-Montrouge, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France"
10,Joli 2 pièces Bon marché,48.84723,2.31967,2,90,Entire Place,5,9,2,6,"8, Rue Saint-Jean-Baptiste de la Salle, Quartier Notre-Dame-des-Champs, Paris 6e Arrondissement, Paris, Île-de-France, France métropolitaine, 75006, France"
11,Beau studio 27m avec balcon de 5.6m. Très calm,48.825,2.338,2,90,Entire Place,5,9,2,14,"Place Mohamed Bouazizi, Quartier du Parc-de-Montsouris, Paris 14e Arrondissement, Paris, Île-de-France, France métropolitaine, 75014, France"
12,Large studio with Balcony - NEW!!,48.879,2.361,2,90,Entire Place,5,11,2,10,"Voie 19+20, Rue du Faubourg Saint-Martin, Quartier Saint-Vincent-de-Paul, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
14,"Appartement très lumineux, vue dégagée sur Paris.",48.88104,2.37369,2,90,Entire Place,5,11,2,19,"Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France"
15,Nice appartment with room in 11th,48.87366,2.37561,2,90,Entire Place,5,11,2,19,"Bio Belle-Ville, Boulevard de la Villette, Quartier du Combat, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France"
16,Cosy and quiet apartment along the canal St Martin,48.87013,2.36574,2,90,Entire Place,5,11,2,10,"La Cidrerie, Quai de Valmy, Quartier de la Porte-Saint-Martin, Paris 10e Arrondissement, Paris, Île-de-France, France métropolitaine, 75010, France"
17,"Charmant appartement à Ménilmontant, 54m2",48.86786,2.3846,2,90,Entire Place,5,11,2,20,"Vapolune café, Rue Étienne Dolet, Quartier de Belleville, Paris 20e Arrondissement, Paris, Île-de-France, France métropolitaine, 75020, France"
18,Superbe studio à Belleville/Oberkampf,48.86799,2.3783,2,90,Entire Place,5,11,2,11,"École Saint-Paul, Esplanade Roger Linet, Quartier de la Folie-Méricourt, Paris 11e Arrondissement, Paris, Île-de-France, France métropolitaine, 75011, France"
19,Little cocoon for your short parisian stay,48.891,2.377,2,90,Entire Place,5,11,2,19,"Banque Populaire, Avenue de Flandre, Quartier de la Villette, Paris 19e Arrondissement, Paris, Île-de-France, France métropolitaine, 75019, France"
