,Name,Lat,Lon,Numer_of_Guests,Price_per_night,Accommodation_Type,Star,labels,price_group,location
14,Charmant Studio Paris 16 à côté de Roland Garros,48.8509,2.26114,2,44,Entire Place,4.5,17,1,48.8509 2.26114
15,Luxe et confort Parisien :-),48.85164,2.26155,2,184,Entire Place,5,17,3,48.85164 2.26155
18,Charmant studio Paris  16e,48.84847,2.26083,2,45,Entire Place,4.5,17,1,48.84847 2.26083
20,MY HOME IS YOURS PARIS 16e Auteuil,48.85215,2.26033,4,129,Entire Place,4.5,17,3,48.85215 2.26033
21,Sunny beautiful appt 16th/15min from Eiffel Tower.,48.85353,2.26113,4,108,Entire Place,5,17,3,48.85353 2.26113
22,Coquet studio Porte d'Auteuil (arrivée tardive ok),48.85097,2.25798,2,79,Entire Place,5,17,2,48.85097 2.25798
25,Bright and Modern Flat near Porte d'Auteuil Metro,48.85113,2.26153,4,117,Entire Place,5,17,3,48.85113 2.26153
57,MEDIUM STAY ONLY - Charming F2 in the heart of Paris 16 - WELKEYS,48.85497,2.27237,2,71,Entire Place,4.5,3,2,48.85497 2.27237
58,Superbe appart haussmannien 3 chambres Paris 16,48.85441,2.27186,6,300,Entire Place,5,3,4,48.85441 2.27186
59,Sofa bed in Paris 16,48.85469,2.27159,2,33,Shared Rooms,5,3,1,48.85469 2.27159
60,Charming and calm bedroom,48.85418,2.27219,2,125,Private Rooms,5,3,3,48.85418 2.27219
61,Parisian flat 3 min from the Eiffel Tower,48.85803,2.30234,2,100,Entire Place,5,18,2,48.85803 2.30234
64,"Nice studio,near the Eiffel Tower and Champde Mars",48.85707,2.30274,2,60,Private Rooms,5,18,2,48.85707 2.30274
65,Belle Chambre à Paris 15 ème.,48.83634,2.2855,2,50,Private Rooms,4.5,3,1,48.83634 2.2855
66,Edgar Suites - Cosy Apartment for 4 pax,48.83667,2.28556,4,226,Entire Place,5,3,4,48.83667 2.28556
67,Sweet apartment very well located,48.83661,2.28575,2,56,Entire Place,5,3,2,48.83661 2.28575
69,Studio à deux pas de la Tour Eiffel,48.85442,2.29434,2,84,Entire Place,5,3,2,48.85442 2.29434
70,Edgar Suites - Charming Appartement,48.83724,2.28549,4,249,Entire Place,5,3,4,48.83724 2.28549
71,Studio Eiffel tower,48.8541,2.29887,2,65,Entire Place,5,18,2,48.8541 2.29887
72,Cosy Flat very close Eiffel Tower,48.85628,2.30316,2,85,Private Rooms,4.5,18,2,48.85628 2.30316
73,Tour Eiffel view Private 1BR/studio (full),48.85739,2.30149,2,94,Private Rooms,4.5,18,2,48.85739 2.30149
74,Studio in front of the Eiffel tower,48.85658,2.29999,2,90,Entire Place,5,18,2,48.85658 2.29999
75,Chambre privée cosy luxe au Champ-de-Mars,48.85671,2.30214,2,109,Private Rooms,5,18,3,48.85671 2.30214
76,"Studio neuf, VUE EXCEPTIONNELLE, très bien équipé",48.85762,2.30256,2,129,Entire Place,5,18,3,48.85762 2.30256
77,Sunny flat 2 minutes from Eiffel Tower,48.85508,2.30314,2,86,Entire Place,4.5,18,2,48.85508 2.30314
78,N8 - Magnifique appartement cosy Tour EIFFEL,48.85962,2.30292,2,120,Entire Place,4,18,3,48.85962 2.30292
79,Studio at 500 meters from the Eiffel Tower,48.85653,2.30198,2,40,Entire Place,4.5,18,1,48.85653 2.30198
80,Ravissant Appartement lumineux à deux minutes de la Tour Eiffel,48.85446,2.29487,4,175,Entire Place,5,3,3,48.85446 2.29487
81,Appartement proche Tour Eiffel,48.85858,2.30324,4,135,Entire Place,5,18,3,48.85858 2.30324
83,"Beautiful 75sqm, 5’ walk from the Eiffel Tower",48.85486,2.29376,2,150,Entire Place,5,3,3,48.85486 2.29376
84,Charmant appartment in the heart of Paris,48.85717,2.30193,3,130,Entire Place,4.5,18,3,48.85717 2.30193
85,Magic View of Eiffel Tower(entire apartment 52m2),48.85645,2.30179,2,220,Private Rooms,5,18,4,48.85645 2.30179
87,TOUR EIFFEL VUE FANTASTIQU STUDIO ET BALCON PRIVES,48.85354,2.29519,2,269,Private Rooms,5,3,4,48.85354 2.29519
104,Penthouse w the best view of Paris,48.85602,2.29308,2,360,Entire Place,5,3,5,48.85602 2.29308
107,Eiffel Tower - Luxury flat with breathtaking view,48.85266,2.29209,2,265,Entire Place,5,3,4,48.85266 2.29209
109,MAGNIFIQUE VUE TOUR EIFFEL STUDIO ET BALCON PRIVES,48.854,2.296,2,269,Private Rooms,5,3,4,48.854 2.296
111,Charming flat near Eiffel Tower - Mobility Lease,48.85753,2.30299,4,123,Entire Place,4.5,18,3,48.85753 2.30299
112,"Charming 2-room apt. by Eiffel Tower, safe & quiet",48.85468,2.29338,2,132,Entire Place,5,3,3,48.85468 2.29338
114,NEAR EIFFEL TOWER...BEAUTIFUL FAMILY FLAT.,48.858,2.303,4,187,Entire Place,5,18,3,48.858 2.303
116,Gorgeous Penthouse with Terrace near Eiffel Tower,48.85318,2.29778,4,272,Entire Place,4.5,3,4,48.85318 2.29778
117,Penthause Studio Apartment Paris 7eme,48.85712,2.30267,2,60,Entire Place,5,18,2,48.85712 2.30267
119,Eiffel Tower: Charming and Design Appart 2BR/6P,48.85429,2.29604,6,194,Entire Place,4.5,3,3,48.85429 2.29604
120,Dans les jardins de la Tour Eiffel,48.85965,2.2995,7,190,Entire Place,4.5,18,3,48.85965 2.2995
122,Eiffel Tower - cozy & very quiet flat,48.85753,2.29954,2,131,Entire Place,5,18,3,48.85753 2.29954
123,One Block from Eiffel Tower (Mobility lease),48.85906,2.29686,7,300,Entire Place,5,18,4,48.85906 2.29686
124,Amazing apartment near Eiffel Tower,48.85377,2.2958,2,350,Entire Place,4.5,3,4,48.85377 2.2958
125,Unique Eiffel Tower and Paris views,48.85529,2.29231,4,370,Entire Place,5,3,5,48.85529 2.29231
126,Modern Family Apartment Next To The Eiffel Tower,48.85621,2.29277,5,335,Entire Place,5,3,4,48.85621 2.29277
127,Amaizing & Modern 2 bedrooms next to Eiffel Tower,48.85722,2.29483,4,552,Private Rooms,5,18,5,48.85722 2.29483
128,Eiffel Story House,48.85226,2.2927,5,186,Private Rooms,4.5,3,3,48.85226 2.2927
129,Studio A++ Eiffel Tower,48.85293,2.29342,2,110,Entire Place,5,3,3,48.85293 2.29342
131,Cool Apt. Tour Eiffel - Big Terrace - Renewed 2020,48.853,2.297,2,150,Entire Place,5,3,3,48.853 2.297
135,Joie by Charlie Tower Eiffel/ Quais de Seine,48.86013,2.29614,2,102,Entire Place,4.5,18,3,48.86013 2.29614
136,2 Bedrooms Loft 5 mins from Effeil tower,48.85631,2.30153,7,169,Entire Place,4.5,18,3,48.85631 2.30153
137,An evening with Gustave Eiffel,48.85634,2.2952,6,714,Entire Place,5,18,5,48.85634 2.2952
138,Charming app 2 minutes walking Eiffel tower,48.86136,2.30129,2,150,Entire Place,4.5,18,3,48.86136 2.30129
139,1 BR Apartment,48.85882,2.29946,3,129,Entire Place,4.5,18,3,48.85882 2.29946
140,??Eiffel Tower stunning view for a romantic stay??,48.85595,2.29746,2,520,Entire Place,5,18,5,48.85595 2.29746
141,861 sq ft Apartment Close to the Eiffel Tower,48.86,2.297,3,242,Entire Place,5,18,4,48.86 2.297
142,[110m2] Eiffel Signature,48.86077,2.2945,6,695,Entire Place,5,18,5,48.86077 2.2945
143,Delightful 1BR - next to the Eiffel Tower,48.86045,2.2984,2,154,Entire Place,5,18,3,48.86045 2.2984
146,"Peaceful apartment,50m2, 2’ from the Eiffel Tower.",48.85533,2.29337,2,176,Entire Place,4.5,3,3,48.85533 2.29337
149,Eiffel Tower - Charming 1 BD apt,48.86017,2.29738,2,217,Entire Place,5,18,4,48.86017 2.29738
151,Luminous newly renovated flat at the Eiffel Tower,48.8611,2.29782,4,175,Entire Place,5,18,3,48.8611 2.29782
153,Gorgeous 3BR flat at Eiffel Tower,48.85687,2.29786,6,619,Entire Place,4.5,18,5,48.85687 2.29786
154,Outstanding 2 br with a terrific Eiffel Tower view,48.85342,2.29866,5,614,Entire Place,5,3,5,48.85342 2.29866
156,Brand New! RelaisFederation Eiffel tower area!,48.854,2.294,8,280,Entire Place,5,3,4,48.854 2.294
157,Amazing apartment next to Eiffel Tower for 6/7,48.86047,2.29811,7,471,Entire Place,5,18,5,48.86047 2.29811
158,Eiffel Tower Views from Balcony or Bathtub!,48.86,2.298,3,421,Entire Place,4.5,18,5,48.86 2.298
159,Incredibly Romantic w/Balcony & Eiffel View,48.858,2.301,4,476,Entire Place,5,18,5,48.858 2.301
162,"Spacious ,Stylish & Elegant next to Eiffel Tower",48.85681,2.29481,6,653,Hotel Rooms,4.5,18,5,48.85681 2.29481
163,Bright apartment at the Eiffel Tower,48.861,2.299,4,405,Entire Place,5,18,5,48.861 2.299
165,Romance with Million Dollar Eiffel View!,48.858,2.301,4,957,Entire Place,5,18,5,48.858 2.301
166,Beautiful 1 bedroom Paris 7th Seine Eiffel Tower,48.86009,2.29953,3,240,Entire Place,5,18,4,48.86009 2.29953
167,Dinner with the Iron Lady,48.85686,2.29489,6,675,Entire Place,5,18,5,48.85686 2.29489
